STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,PV Capacity Factor_min,PV Capacity Factor_max,PV Capacity Factor_mean,PV Capacity Factor_median,PV Capacity Factor_stddev,PV Capacity Factor_q1,PV Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.186128,0.200557,0.193504,0.193637,0.002053,0.192028,0.195011
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.175450,0.192689,0.184261,0.184440,0.002897,0.182313,0.186426
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.185218,0.225892,0.202486,0.202089,0.008472,0.196190,0.208966
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.166959,0.187483,0.178828,0.178559,0.002929,0.176943,0.180546
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.165548,0.177925,0.173420,0.173963,0.002409,0.171959,0.175158
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.188014,0.202646,0.195184,0.195197,0.002705,0.193553,0.196985
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.153584,0.176294,0.164777,0.164733,0.005320,0.159790,0.169324
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.158474,0.174931,0.168900,0.168595,0.002616,0.166901,0.170590
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.149344,0.208583,0.186919,0.189960,0.012387,0.181598,0.195955
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.186830,0.206756,0.197684,0.198590,0.004839,0.193972,0.201944
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.176123,0.205307,0.186200,0.185577,0.004864,0.182988,0.188549
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.130911,0.200202,0.165476,0.172681,0.017590,0.145654,0.180085
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.209318,0.246622,0.236267,0.236889,0.005297,0.233266,0.239422
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.169667,0.186847,0.177109,0.176475,0.003785,0.174456,0.179894
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.186032,0.245582,0.210806,0.206380,0.015553,0.198169,0.222441
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.166413,0.251132,0.225314,0.225621,0.014877,0.215206,0.238352
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.182590,0.199568,0.189077,0.188968,0.002520,0.187596,0.190684
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.178133,0.197522,0.188372,0.188497,0.002952,0.186290,0.190247
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.163219,0.182060,0.169507,0.168539,0.003145,0.167195,0.171545
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.179407,0.192935,0.184955,0.184438,0.002715,0.183043,0.186493
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",0.175471,0.232061,0.210127,0.210375,0.011550,0.201821,0.220396
"49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",0.185242,0.233529,0.213131,0.212405,0.010913,0.204483,0.222788
"47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",0.173970,0.194824,0.185110,0.185549,0.004406,0.181778,0.187613
"56","01779807",0400000US56,"56",WY,Wyoming,"00","251458544898","1867670745",0.172004,0.218255,0.192608,0.193193,0.009293,0.183536,0.200787
"36","01779796",0400000US36,"36",NY,New York,"00","122049149763","19246994695",0.155923,0.182554,0.165763,0.165580,0.004203,0.163766,0.167432
"20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",0.184725,0.220614,0.200553,0.199991,0.008660,0.192774,0.207581
"02","01785533",0400000US02,"02",AK,Alaska,"00","1478839695958","245481577452",,,,,,,
"32","01779793",0400000US32,"32",NV,Nevada,"00","284329506470","2047206072",0.196980,0.246003,0.220697,0.219583,0.011305,0.211160,0.231005
"17","01779784",0400000US17,"17",IL,Illinois,"00","143780567633","6214824948",0.172013,0.189266,0.180496,0.179764,0.003962,0.177634,0.183545
"50","01779802",0400000US50,"50",VT,Vermont,"00","23874175944","1030416650",0.155542,0.166564,0.160560,0.160110,0.002708,0.158384,0.162573
"30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",0.154537,0.206712,0.172937,0.172552,0.005929,0.169831,0.176055
"19","01779785",0400000US19,"19",IA,Iowa,"00","144661267977","1084180812",0.171918,0.184914,0.177677,0.177606,0.002343,0.176028,0.179391
"45","01779799",0400000US45,"45",SC,South Carolina,"00","77864918488","5075218778",0.181950,0.196351,0.187619,0.188112,0.002801,0.185218,0.189515
"33","01779794",0400000US33,"33",NH,New Hampshire,"00","23189413166","1026675248",0.155331,0.170863,0.163350,0.164195,0.003899,0.159367,0.166355
"04","01779777",0400000US04,"04",AZ,Arizona,"00","294198551143","1027337603",0.218121,0.246480,0.237946,0.237741,0.004158,0.235142,0.241303
"11","01702382",0400000US11,"11",DC,District of Columbia,"00","158340391","18687198",,,,,,,
"60","01802701",0400000US60,"60",AS,American Samoa,"00","197759063","1307243754",,,,,,,
