STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,pv_capacit_min,pv_capacit_mean,pv_capacit_median,pv_capacit_stddev,pv_capacit_q1,pv_capacit_q3,PV Capacity Factor_min,PV Capacity Factor_mean,PV Capacity Factor_median,PV Capacity Factor_stddev,PV Capacity Factor_q1,PV Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.180598,0.188411,0.187491,0.003251,0.186198,0.190091,0.185440,0.190168,0.189572,0.003085,0.187711,0.192256
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.170890,0.186169,0.186731,0.003903,0.184346,0.188837,0.171226,0.185884,0.187349,0.003972,0.183440,0.188964
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.176738,0.201636,0.201112,0.011036,0.193154,0.210251,0.179216,0.198325,0.196032,0.011503,0.187998,0.207759
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.166563,0.176433,0.176347,0.004305,0.173794,0.179154,0.164252,0.177516,0.177130,0.004293,0.174573,0.179783
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.155664,0.163326,0.162847,0.003602,0.160588,0.165826,0.162931,0.170036,0.170253,0.002736,0.167968,0.172272
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.182493,0.190847,0.190056,0.005143,0.186334,0.194937,0.187102,0.193739,0.193608,0.003646,0.190725,0.195744
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.155677,0.164295,0.165172,0.002769,0.162149,0.166358,0.155675,0.162287,0.162243,0.001995,0.160890,0.163650
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.156112,0.165216,0.165396,0.003163,0.163491,0.166517,0.160866,0.167209,0.167518,0.002566,0.165555,0.169253
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.142000,0.185562,0.190652,0.015203,0.176327,0.197816,0.147952,0.187504,0.192931,0.015800,0.177840,0.199849
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.189432,0.201889,0.202693,0.005790,0.197324,0.206862,0.188439,0.200687,0.201279,0.004875,0.197157,0.204867
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.177330,0.193398,0.194390,0.006547,0.187933,0.198947,0.178558,0.190468,0.191032,0.007047,0.183591,0.197050
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.121899,0.162758,0.170884,0.020482,0.139056,0.180223,0.128612,0.163956,0.170057,0.019252,0.141450,0.181344
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.216430,0.237233,0.237587,0.006074,0.234317,0.239909,0.201032,0.236080,0.236631,0.005241,0.233261,0.239043
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.170048,0.182869,0.182577,0.005152,0.179089,0.186074,0.169246,0.181415,0.182007,0.005356,0.178076,0.184824
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.182875,0.213624,0.211978,0.016731,0.199638,0.226793,0.184929,0.211576,0.208324,0.016822,0.196659,0.225353
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.169289,0.225168,0.223719,0.016972,0.212000,0.239349,0.175452,0.225156,0.224218,0.015742,0.213315,0.239417
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.177993,0.187036,0.186936,0.004105,0.183869,0.189050,0.179597,0.186294,0.186357,0.002436,0.184825,0.187461
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.176139,0.192284,0.192623,0.006269,0.187371,0.197650,0.178667,0.192436,0.192746,0.006390,0.187641,0.198182
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.151112,0.159151,0.157787,0.004758,0.155770,0.161514,0.154940,0.164885,0.164838,0.004258,0.161557,0.167604
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.174612,0.181615,0.181272,0.003401,0.179130,0.183877,0.175220,0.180321,0.179804,0.002566,0.178726,0.181170
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",0.184834,0.212913,0.213509,0.009953,0.205481,0.221016,0.175028,0.212885,0.213614,0.010123,0.205337,0.221291
"49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",0.162956,0.216393,0.217643,0.011967,0.208413,0.225835,0.174176,0.215451,0.215370,0.011392,0.206592,0.225574
"47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",0.169652,0.179619,0.179155,0.004227,0.176785,0.182423,0.169969,0.182341,0.181956,0.004988,0.178599,0.184941
"56","01779807",0400000US56,"56",WY,Wyoming,"00","251458544898","1867670745",0.163354,0.197027,0.197672,0.008362,0.191646,0.203435,0.173218,0.197741,0.198262,0.008355,0.192861,0.203862
"36","01779796",0400000US36,"36",NY,New York,"00","122049149763","19246994695",0.150878,0.157084,0.155739,0.004400,0.154220,0.158929,0.155063,0.160868,0.159385,0.004256,0.157807,0.162966
"20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",0.183245,0.201066,0.200441,0.009531,0.192850,0.209055,0.180461,0.197654,0.196802,0.011036,0.187335,0.206488
"02","01785533",0400000US02,"02",AK,Alaska,"00","1478839695958","245481577452",,,,,,,,,,,,
"32","01779793",0400000US32,"32",NV,Nevada,"00","284329506470","2047206072",0.194010,0.221984,0.220913,0.012093,0.212130,0.231819,0.193611,0.221029,0.220388,0.011575,0.211236,0.230581
"17","01779784",0400000US17,"17",IL,Illinois,"00","143780567633","6214824948",0.170493,0.177284,0.177883,0.002909,0.174959,0.179698,0.167647,0.176270,0.175695,0.004526,0.172625,0.179958
"50","01779802",0400000US50,"50",VT,Vermont,"00","23874175944","1030416650",0.147295,0.155757,0.155318,0.003462,0.153072,0.157727,0.152374,0.158010,0.157309,0.002265,0.156699,0.158700
"30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",0.144000,0.172447,0.172820,0.007253,0.169676,0.176423,0.150323,0.172773,0.173079,0.006824,0.169791,0.176397
"19","01779785",0400000US19,"19",IA,Iowa,"00","144661267977","1084180812",0.171336,0.176487,0.176176,0.002698,0.174591,0.178345,0.168870,0.174460,0.174556,0.002255,0.172804,0.175860
"45","01779799",0400000US45,"45",SC,South Carolina,"00","77864918488","5075218778",0.180493,0.191164,0.191678,0.003371,0.188792,0.193729,0.182430,0.190124,0.190036,0.002881,0.188379,0.191591
"33","01779794",0400000US33,"33",NH,New Hampshire,"00","23189413166","1026675248",0.148024,0.161333,0.163221,0.005161,0.157131,0.165066,0.155607,0.162072,0.162419,0.003813,0.157821,0.165499
"04","01779777",0400000US04,"04",AZ,Arizona,"00","294198551143","1027337603",0.223880,0.239761,0.240133,0.004387,0.237265,0.242551,0.214128,0.239267,0.239442,0.003823,0.236917,0.242084
"11","01702382",0400000US11,"11",DC,District of Columbia,"00","158340391","18687198",,,,,,,,,,,,
"60","01802701",0400000US60,"60",AS,American Samoa,"00","197759063","1307243754",,,,,,,,,,,,
"78","01802710",0400000US78,"78",VI,United States Virgin Islands,"00","348021896","1550236201",,,,,,,,,,,,
"34","01779795",0400000US34,"34",NJ,New Jersey,"00","19047825980","3544860246",0.162169,0.171628,0.172539,0.005343,0.166452,0.176100,0.167469,0.172892,0.173653,0.003270,0.170080,0.175643
"24","01714934",0400000US24,"24",MD,Maryland,"00","25151100280","6979966958",0.157455,0.175107,0.175965,0.006203,0.173673,0.178472,0.164360,0.176303,0.176902,0.004607,0.173947,0.180085
"23","01779787",0400000US23,"23",ME,Maine,"00","79887426037","11746549764",0.149599,0.158649,0.157728,0.004089,0.155610,0.161012,0.155403,0.159481,0.158585,0.002757,0.157452,0.160932
"15","01779782",0400000US15,"15",HI,Hawaii,"00","16633990195","11777809026",,,,,,,,,,,,
"10","01779781",0400000US10,"10",DE,Delaware,"00","5045925646","1399985648",0.169074,0.179651,0.180929,0.003272,0.178390,0.181846,0.175598,0.178391,0.178248,0.001284,0.177543,0.178957
"66","01802705",0400000US66,"66",GU,Guam,"00","543555840","934337453",,,,,,,,,,,,
"69","01779809",0400000US69,"69",MP,Commonwealth of the Northern Mariana Islands,"00","472292529","4644252461",,,,,,,,,,,,
"44","01219835",0400000US44,"44",RI,Rhode Island,"00","2677779902","1323670487",0.165947,0.168284,0.168007,0.001979,0.166675,0.169404,0.168999,0.169975,0.169727,0.000729,0.169489,0.170269
"21","01779786",0400000US21,"21",KY,Kentucky,"00","102279490672","2375337755",0.163395,0.173728,0.174648,0.005539,0.168850,0.178019,0.167737,0.178422,0.177163,0.004769,0.174364,0.182729
"39","01085497",0400000US39,"39",OH,Ohio,"00","105828882568","10268850702",0.153305,0.165697,0.166154,0.004591,0.162412,0.169384,0.161523,0.168341,0.168004,0.002690,0.166691,0.169620
"55","01779806",0400000US55,"55",WI,Wisconsin,"00","140290039723","29344951758",0.159679,0.169009,0.169498,0.002633,0.167882,0.170847,0.155800,0.164966,0.165968,0.004388,0.160584,0.168753
"41","01155107",0400000US41,"41",OR,Oregon,"00","248606993270","6192386935",0.132350,0.184089,0.189020,0.018241,0.173339,0.198801,0.137012,0.185144,0.189502,0.019349,0.173207,0.201036
"38","01779797",0400000US38,"38",ND,North Dakota,"00","178707534813","4403267548",0.162409,0.171730,0.170968,0.004392,0.168446,0.174674,0.162533,0.170777,0.170013,0.004382,0.167543,0.173370
"05","00068085",0400000US05,"05",AR,Arkansas,"00","134768872727","2962859592",0.175891,0.185068,0.184553,0.004026,0.181781,0.188439,0.178429,0.188184,0.188933,0.004543,0.184583,0.192049
"18","00448508",0400000US18,"18",IN,Indiana,"00","92789302676","1538002829",0.166866,0.172754,0.173163,0.002625,0.170858,0.174167,0.163775,0.173462,0.173010,0.004628,0.169578,0.176540
"27","00662849",0400000US27,"27",MN,Minnesota,"00","206228939448","18945217189",0.154619,0.168127,0.168925,0.004108,0.165251,0.170865,0.157693,0.166230,0.166878,0.003798,0.163033,0.169252
"09","01779780",0400000US09,"09",CT,Connecticut,"00","12542497068","1815617571",0.161665,0.166175,0.165955,0.001919,0.165137,0.167207,0.163332,0.168991,0.169099,0.002065,0.167841,0.170276
