STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,PV Capacity Factor_min,PV Capacity Factor_max,PV Capacity Factor_mean,PV Capacity Factor_median,PV Capacity Factor_stddev,PV Capacity Factor_q1,PV Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.186840,0.200053,0.194339,0.194306,0.002020,0.193150,0.195648
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.175627,0.194613,0.185401,0.185466,0.002872,0.183550,0.187566
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.185803,0.225872,0.202446,0.202121,0.008354,0.196302,0.208788
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.169904,0.188531,0.180354,0.180331,0.002864,0.178331,0.181975
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.166820,0.180099,0.175040,0.175342,0.002320,0.173866,0.176635
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.188937,0.202494,0.195482,0.195664,0.002656,0.193905,0.197245
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.152963,0.177811,0.166823,0.166967,0.005694,0.161602,0.172138
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.159702,0.176767,0.170194,0.169651,0.002932,0.167901,0.172417
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.150073,0.211539,0.188504,0.191756,0.012824,0.183211,0.197666
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.187653,0.206274,0.198314,0.199556,0.004475,0.194882,0.202088
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.176314,0.206129,0.187267,0.186385,0.005780,0.183066,0.190617
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.132633,0.201847,0.166368,0.173222,0.017295,0.147835,0.180572
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.212273,0.247052,0.236971,0.237398,0.005024,0.234215,0.240216
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.168616,0.187289,0.176354,0.175693,0.003961,0.173396,0.179107
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.186659,0.245158,0.210182,0.205394,0.015264,0.198007,0.221151
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.177046,0.252796,0.226464,0.226929,0.014012,0.216942,0.238837
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.183352,0.200291,0.190112,0.190266,0.002568,0.188576,0.191894
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.179419,0.198030,0.189300,0.189651,0.002986,0.187199,0.191128
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.164462,0.183474,0.171022,0.170125,0.003555,0.168261,0.173431
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.180428,0.193620,0.187036,0.186733,0.002662,0.185078,0.188858
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",0.177715,0.232591,0.211766,0.212813,0.010901,0.203520,0.221327
"49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",0.188329,0.233987,0.215201,0.215373,0.010981,0.205900,0.225658
"47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",0.175051,0.195573,0.186747,0.187154,0.004218,0.183383,0.189462
"56","01779807",0400000US56,"56",WY,Wyoming,"00","251458544898","1867670745",0.171921,0.220619,0.194400,0.195910,0.009362,0.185640,0.202321
"36","01779796",0400000US36,"36",NY,New York,"00","122049149763","19246994695",0.156731,0.184945,0.167570,0.167370,0.004344,0.165495,0.169398
"20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",0.188610,0.220276,0.201773,0.201560,0.007770,0.194357,0.207987
"02","01785533",0400000US02,"02",AK,Alaska,"00","1478839695958","245481577452",,,,,,,
"32","01779793",0400000US32,"32",NV,Nevada,"00","284329506470","2047206072",0.197876,0.246117,0.222599,0.221941,0.010795,0.213810,0.232113
"17","01779784",0400000US17,"17",IL,Illinois,"00","143780567633","6214824948",0.173837,0.190890,0.182254,0.181714,0.004126,0.178981,0.185591
"50","01779802",0400000US50,"50",VT,Vermont,"00","23874175944","1030416650",0.156427,0.167925,0.161191,0.161168,0.002846,0.158583,0.163348
"30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",0.153773,0.208222,0.174057,0.173985,0.006199,0.170791,0.177309
"19","01779785",0400000US19,"19",IA,Iowa,"00","144661267977","1084180812",0.174457,0.187168,0.178886,0.178452,0.002667,0.176621,0.180970
"45","01779799",0400000US45,"45",SC,South Carolina,"00","77864918488","5075218778",0.183159,0.197388,0.188224,0.188545,0.002650,0.186058,0.189800
"33","01779794",0400000US33,"33",NH,New Hampshire,"00","23189413166","1026675248",0.155247,0.172280,0.164052,0.164843,0.004318,0.159641,0.167345
"04","01779777",0400000US04,"04",AZ,Arizona,"00","294198551143","1027337603",0.220895,0.247175,0.238521,0.238269,0.004043,0.235707,0.241865
"11","01702382",0400000US11,"11",DC,District of Columbia,"00","158340391","18687198",,,,,,,
"60","01802701",0400000US60,"60",AS,American Samoa,"00","197759063","1307243754",,,,,,,
"78","01802710",0400000US78,"78",VI,United States Virgin Islands,"00","348021896","1550236201",,,,,,,
