STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Wind Capacity Factor_min,Wind Capacity Factor_max,Wind Capacity Factor_mean,Wind Capacity Factor_median,Wind Capacity Factor_stddev,Wind Capacity Factor_q1,Wind Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.272354,0.362483,0.320086,0.317856,0.014623,0.311582,0.324783
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.213950,0.483716,0.333644,0.336735,0.027596,0.321690,0.348545
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.335609,0.483305,0.455917,0.467036,0.028081,0.453675,0.471178
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.207002,0.424964,0.342687,0.342399,0.039351,0.321721,0.368748
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.255775,0.446149,0.339128,0.337975,0.033581,0.315766,0.361890
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.313513,0.388317,0.336766,0.336055,0.013350,0.328507,0.341756
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.350029,0.438547,0.409904,0.412713,0.013400,0.407327,0.417767
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.339521,0.454056,0.392405,0.389997,0.024221,0.373988,0.410580
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.102690,0.451073,0.233778,0.230178,0.044276,0.204938,0.256292
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.270958,0.364559,0.301721,0.302092,0.014806,0.291664,0.310563
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.207504,0.480808,0.379193,0.383492,0.053985,0.351390,0.419281
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.155057,0.379813,0.269957,0.261929,0.039724,0.244780,0.290597
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.124347,0.424221,0.288636,0.291819,0.044516,0.256577,0.323108
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.294894,0.449643,0.369183,0.369035,0.028774,0.352273,0.383114
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.208401,0.526945,0.398037,0.407437,0.047008,0.381224,0.430434
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.048291,0.372614,0.218359,0.227661,0.062053,0.180435,0.259223
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.264622,0.349849,0.304815,0.310420,0.015549,0.292503,0.316978
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.230428,0.366198,0.313373,0.318572,0.018140,0.308153,0.325983
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.325530,0.462804,0.381957,0.381193,0.020891,0.365696,0.398091
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.291093,0.492074,0.437208,0.456108,0.047239,0.419152,0.470026
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",0.087711,0.395796,0.244542,0.239985,0.059456,0.197947,0.288413
"49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",0.123363,0.354192,0.228567,0.222579,0.037624,0.204822,0.251044
"47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",0.211729,0.413294,0.296456,0.292879,0.031377,0.278047,0.311006
"56","01779807",0400000US56,"56",WY,Wyoming,"00","251458544898","1867670745",0.122982,0.490423,0.268578,0.264010,0.058942,0.219824,0.308210
"36","01779796",0400000US36,"36",NY,New York,"00","122049149763","19246994695",0.317442,0.481457,0.387380,0.394506,0.029566,0.367432,0.410339
"20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",0.317388,0.496152,0.440674,0.454521,0.039346,0.413178,0.472698
"02","01785533",0400000US02,"02",AK,Alaska,"00","1478839695958","245481577452",,,,,,,
"32","01779793",0400000US32,"32",NV,Nevada,"00","284329506470","2047206072",0.149588,0.379570,0.258916,0.254091,0.035754,0.232003,0.285488
"17","01779784",0400000US17,"17",IL,Illinois,"00","143780567633","6214824948",0.328415,0.456454,0.423358,0.427145,0.021050,0.419206,0.436850
"50","01779802",0400000US50,"50",VT,Vermont,"00","23874175944","1030416650",0.310502,0.471399,0.360141,0.345545,0.038635,0.328188,0.397011
"30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",0.142959,0.482349,0.326663,0.341272,0.062313,0.290660,0.370033
"19","01779785",0400000US19,"19",IA,Iowa,"00","144661267977","1084180812",0.403041,0.485723,0.449909,0.449214,0.012772,0.442972,0.456359
"45","01779799",0400000US45,"45",SC,South Carolina,"00","77864918488","5075218778",0.266849,0.367748,0.324743,0.329169,0.012739,0.316798,0.332189
"33","01779794",0400000US33,"33",NH,New Hampshire,"00","23189413166","1026675248",0.301050,0.486283,0.364018,0.358735,0.033978,0.339416,0.378096
"04","01779777",0400000US04,"04",AZ,Arizona,"00","294198551143","1027337603",0.120922,0.402828,0.238054,0.228700,0.035212,0.212184,0.257201
"11","01702382",0400000US11,"11",DC,District of Columbia,"00","158340391","18687198",,,,,,,
"60","01802701",0400000US60,"60",AS,American Samoa,"00","197759063","1307243754",,,,,,,
"78","01802710",0400000US78,"78",VI,United States Virgin Islands,"00","348021896","1550236201",,,,,,,
"34","01779795",0400000US34,"34",NJ,New Jersey,"00","19047825980","3544860246",0.360424,0.429880,0.401676,0.403347,0.015638,0.391293,0.414368
"24","01714934",0400000US24,"24",MD,Maryland,"00","25151100280","6979966958",0.316105,0.427709,0.401837,0.406539,0.020303,0.392418,0.416941
"23","01779787",0400000US23,"23",ME,Maine,"00","79887426037","11746549764",0.310500,0.470755,0.354637,0.350550,0.028535,0.333811,0.364176
"15","01779782",0400000US15,"15",HI,Hawaii,"00","16633990195","11777809026",,,,,,,
"10","01779781",0400000US10,"10",DE,Delaware,"00","5045925646","1399985648",0.382833,0.419565,0.409596,0.412182,0.007844,0.405623,0.415048
"66","01802705",0400000US66,"66",GU,Guam,"00","543555840","934337453",,,,,,,
"69","01779809",0400000US69,"69",MP,Commonwealth of the Northern Mariana Islands,"00","472292529","4644252461",,,,,,,
"44","01219835",0400000US44,"44",RI,Rhode Island,"00","2677779902","1323670487",0.384383,0.438775,0.407155,0.409044,0.016755,0.391643,0.415993
"21","01779786",0400000US21,"21",KY,Kentucky,"00","102279490672","2375337755",0.237171,0.419306,0.331182,0.322389,0.038475,0.304773,0.355526
"39","01085497",0400000US39,"39",OH,Ohio,"00","105828882568","10268850702",0.288545,0.423616,0.387150,0.397269,0.028447,0.375343,0.408350
"55","01779806",0400000US55,"55",WI,Wisconsin,"00","140290039723","29344951758",0.362929,0.456365,0.429801,0.435273,0.017117,0.416910,0.443332
"41","01155107",0400000US41,"41",OR,Oregon,"00","248606993270","6192386935",0.135435,0.414054,0.250859,0.249054,0.042911,0.218786,0.278968
"38","01779797",0400000US38,"38",ND,North Dakota,"00","178707534813","4403267548",0.347915,0.418754,0.379001,0.378535,0.009738,0.373476,0.383640
"05","00068085",0400000US05,"05",AR,Arkansas,"00","134768872727","2962859592",0.296430,0.473677,0.373802,0.362782,0.035708,0.347585,0.388524
"18","00448508",0400000US18,"18",IN,Indiana,"00","92789302676","1538002829",0.325845,0.426264,0.406370,0.410548,0.016100,0.401917,0.416905
"27","00662849",0400000US27,"27",MN,Minnesota,"00","206228939448","18945217189",0.362983,0.457336,0.418292,0.421641,0.019371,0.404257,0.432422
"09","01779780",0400000US09,"09",CT,Connecticut,"00","12542497068","1815617571",0.350689,0.428516,0.391815,0.389241,0.015647,0.381553,0.404133
