STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,capacity_f_min,capacity_f_max,capacity_f_mean,capacity_f_median,capacity_f_stddev,capacity_f_q1,capacity_f_q3,Wind Capacity Factor_min,Wind Capacity Factor_max,Wind Capacity Factor_mean,Wind Capacity Factor_median,Wind Capacity Factor_stddev,Wind Capacity Factor_q1,Wind Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.283533,0.386737,0.333736,0.330561,0.021851,0.317573,0.348057,0.285746,0.377659,0.326754,0.322334,0.018653,0.311916,0.339616
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.144210,0.457217,0.335046,0.353533,0.063003,0.297456,0.379036,0.206809,0.517526,0.321563,0.332165,0.046769,0.285323,0.354423
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.230734,0.543911,0.456745,0.464127,0.044229,0.443006,0.483496,0.297091,0.509231,0.446193,0.459766,0.045747,0.434720,0.477472
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.165440,0.486971,0.325645,0.334757,0.055232,0.289894,0.364543,0.208930,0.455794,0.322388,0.315582,0.041074,0.291516,0.349594
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.192811,0.520216,0.329254,0.321277,0.052677,0.305238,0.351054,0.249479,0.490445,0.350184,0.340959,0.040930,0.328747,0.372541
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.297993,0.385039,0.340371,0.343779,0.017131,0.330167,0.352609,0.310886,0.351555,0.336695,0.339206,0.009006,0.329647,0.343930
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.326000,0.514171,0.428305,0.427620,0.022811,0.414878,0.440994,0.370381,0.485408,0.425546,0.423899,0.015897,0.416906,0.435946
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.264085,0.483181,0.405816,0.412162,0.046479,0.392764,0.434491,0.354508,0.462547,0.398492,0.400074,0.021521,0.383323,0.409860
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.098748,0.436374,0.261470,0.262697,0.063521,0.214297,0.312601,0.124845,0.417317,0.259312,0.264967,0.043132,0.229645,0.289093
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.227778,0.334462,0.287915,0.288985,0.018599,0.274624,0.302674,0.258259,0.332624,0.293053,0.294070,0.017799,0.276409,0.308563
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.335856,0.520802,0.465663,0.473211,0.029784,0.450605,0.487163,0.308566,0.487021,0.455401,0.462294,0.023944,0.440911,0.474056
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.039998,0.550016,0.270114,0.268204,0.066765,0.221978,0.316898,0.132672,0.397606,0.265685,0.265419,0.046701,0.235668,0.298646
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.121693,0.527860,0.327110,0.317199,0.079004,0.268227,0.382089,0.135840,0.455509,0.317718,0.311607,0.061834,0.269514,0.361780
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,,,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.270665,0.524742,0.443541,0.448338,0.038639,0.425135,0.470079,0.358866,0.490888,0.444458,0.447605,0.021326,0.430925,0.458992
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.173420,0.540336,0.417509,0.423452,0.059543,0.373419,0.463487,0.219667,0.510184,0.410943,0.428907,0.053463,0.369316,0.451893
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.013995,0.553499,0.227235,0.230889,0.085531,0.169799,0.286485,0.054993,0.376784,0.229345,0.239456,0.060848,0.190457,0.271974
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.195742,0.372064,0.306578,0.309283,0.021780,0.295655,0.319281,0.283928,0.353357,0.308943,0.306293,0.011075,0.301187,0.313749
