STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Wind Capacity Factor_min,Wind Capacity Factor_max,Wind Capacity Factor_mean,Wind Capacity Factor_median,Wind Capacity Factor_stddev,Wind Capacity Factor_q1,Wind Capacity Factor_q3
"28","01779790",0400000US28,"28",MS,Mississippi,"00","121533519481","3926919758",0.267857,0.358636,0.314695,0.313541,0.014493,0.307559,0.319697
"37","01027616",0400000US37,"37",NC,North Carolina,"00","125923656064","13466071395",0.204303,0.481708,0.336639,0.340043,0.030185,0.323401,0.352020
"40","01102857",0400000US40,"40",OK,Oklahoma,"00","177662925723","3374587997",0.343139,0.485234,0.458387,0.468650,0.026919,0.456463,0.472737
"51","01779803",0400000US51,"51",VA,Virginia,"00","102257717110","8528531774",0.198328,0.427908,0.343107,0.344439,0.041184,0.323085,0.368626
"54","01779805",0400000US54,"54",WV,West Virginia,"00","62266474513","489028543",0.253238,0.451006,0.333648,0.329903,0.035351,0.308882,0.358522
"22","01629543",0400000US22,"22",LA,Louisiana,"00","111897594374","23753621895",0.310535,0.388314,0.334684,0.333422,0.014619,0.326118,0.339780
"26","01779789",0400000US26,"26",MI,Michigan,"00","146600952990","103885855702",0.349180,0.437745,0.408795,0.413090,0.015243,0.405651,0.417991
"25","00606926",0400000US25,"25",MA,Massachusetts,"00","20205125364","7129925486",0.334935,0.451895,0.392522,0.389426,0.026279,0.371075,0.411457
"16","01779783",0400000US16,"16",ID,Idaho,"00","214049787659","2391722557",0.099583,0.442844,0.232831,0.229182,0.043536,0.204819,0.256630
"12","00294478",0400000US12,"12",FL,Florida,"00","138949136250","31361101223",0.268078,0.348540,0.297692,0.299471,0.013767,0.286120,0.307167
"31","01779792",0400000US31,"31",NE,Nebraska,"00","198956658395","1371829134",0.192431,0.493131,0.385135,0.389051,0.055977,0.358314,0.424148
"53","01779804",0400000US53,"53",WA,Washington,"00","172112588220","12559278850",0.145466,0.384057,0.266722,0.260777,0.042216,0.237121,0.292152
"35","00897535",0400000US35,"35",NM,New Mexico,"00","314196306401","728776523",0.131910,0.423981,0.293286,0.296880,0.043332,0.263833,0.325426
"72","01779808",0400000US72,"72",PR,Puerto Rico,"00","8868896030","4922382562",,,,,,,
"46","01785534",0400000US46,"46",SD,South Dakota,"00","196346981786","3382720225",0.291171,0.446716,0.371033,0.371190,0.028167,0.354101,0.384025
"48","01779801",0400000US48,"48",TX,Texas,"00","676653171537","19006305260",0.208905,0.525196,0.401097,0.411239,0.047440,0.381667,0.433878
"06","01779778",0400000US06,"06",CA,California,"00","403503931312","20463871877",0.041452,0.369550,0.216552,0.225587,0.062804,0.178550,0.258760
"01","01779775",0400000US01,"01",AL,Alabama,"00","131174048583","4593327154",0.260536,0.348646,0.302021,0.307827,0.016060,0.288641,0.314791
"13","01705317",0400000US13,"13",GA,Georgia,"00","149482048342","4422936154",0.238522,0.365841,0.311299,0.316088,0.018711,0.305849,0.324576
"42","01779798",0400000US42,"42",PA,Pennsylvania,"00","115884442321","3394589990",0.324358,0.466170,0.380908,0.380820,0.021789,0.364310,0.397367
"29","01779791",0400000US29,"29",MO,Missouri,"00","178050802184","2489425460",0.291732,0.498679,0.440840,0.457416,0.045693,0.426076,0.473011
"08","01779779",0400000US08,"08",CO,Colorado,"00","268422891711","1181621593",0.097063,0.384647,0.247132,0.242025,0.057957,0.201166,0.289088
"49","01455989",0400000US49,"49",UT,Utah,"00","212886221680","6998824394",0.132225,0.352278,0.232841,0.225166,0.040127,0.205962,0.259648
"47","01325873",0400000US47,"47",TN,Tennessee,"00","106802728188","2350123465",0.202728,0.411014,0.290351,0.285480,0.033710,0.269522,0.306857
"56","01779807",0400000US56,"56",WY,Wyoming,"00","251458544898","1867670745",0.125327,0.481713,0.268230,0.265481,0.059203,0.217049,0.308189
"36","01779796",0400000US36,"36",NY,New York,"00","122049149763","19246994695",0.322659,0.481868,0.388335,0.394880,0.029004,0.370037,0.410287
"20","00481813",0400000US20,"20",KS,Kansas,"00","211755344060","1344141205",0.322264,0.501757,0.446769,0.457625,0.040079,0.420246,0.478742
"02","01785533",0400000US02,"02",AK,Alaska,"00","1478839695958","245481577452",,,,,,,
"32","01779793",0400000US32,"32",NV,Nevada,"00","284329506470","2047206072",0.155812,0.374423,0.257810,0.254252,0.035995,0.230936,0.285018
"17","01779784",0400000US17,"17",IL,Illinois,"00","143780567633","6214824948",0.317228,0.458795,0.426196,0.429657,0.020337,0.420976,0.438321
"50","01779802",0400000US50,"50",VT,Vermont,"00","23874175944","1030416650",0.305497,0.471187,0.362333,0.349069,0.036691,0.332300,0.390564
"30","00767982",0400000US30,"30",MT,Montana,"00","376962738765","3869208832",0.134805,0.491199,0.325702,0.342909,0.064878,0.286627,0.372033
"19","01779785",0400000US19,"19",IA,Iowa,"00","144661267977","1084180812",0.408252,0.484974,0.451636,0.450567,0.012433,0.444739,0.459135
"45","01779799",0400000US45,"45",SC,South Carolina,"00","77864918488","5075218778",0.262823,0.372787,0.323895,0.328256,0.013031,0.316394,0.331495
"33","01779794",0400000US33,"33",NH,New Hampshire,"00","23189413166","1026675248",0.306464,0.487454,0.364303,0.357740,0.034395,0.341355,0.374462
"04","01779777",0400000US04,"04",AZ,Arizona,"00","294198551143","1027337603",0.113370,0.418713,0.241367,0.232182,0.036666,0.213624,0.263190
"11","01702382",0400000US11,"11",DC,District of Columbia,"00","158340391","18687198",,,,,,,
"60","01802701",0400000US60,"60",AS,American Samoa,"00","197759063","1307243754",,,,,,,
"78","01802710",0400000US78,"78",VI,United States Virgin Islands,"00","348021896","1550236201",,,,,,,
"34","01779795",0400000US34,"34",NJ,New Jersey,"00","19047825980","3544860246",0.355449,0.429332,0.399624,0.401353,0.017865,0.387381,0.414832
"24","01714934",0400000US24,"24",MD,Maryland,"00","25151100280","6979966958",0.302314,0.430478,0.402435,0.408763,0.022629,0.393694,0.418436
"23","01779787",0400000US23,"23",ME,Maine,"00","79887426037","11746549764",0.316399,0.472894,0.360665,0.358362,0.027892,0.338943,0.372815
"15","01779782",0400000US15,"15",HI,Hawaii,"00","16633990195","11777809026",,,,,,,
"10","01779781",0400000US10,"10",DE,Delaware,"00","5045925646","1399985648",0.392295,0.423963,0.409643,0.410066,0.007315,0.403281,0.416485
"66","01802705",0400000US66,"66",GU,Guam,"00","543555840","934337453",,,,,,,
"69","01779809",0400000US69,"69",MP,Commonwealth of the Northern Mariana Islands,"00","472292529","4644252461",,,,,,,
"44","01219835",0400000US44,"44",RI,Rhode Island,"00","2677779902","1323670487",0.384708,0.442952,0.409653,0.409631,0.017599,0.392070,0.419196
"21","01779786",0400000US21,"21",KY,Kentucky,"00","102279490672","2375337755",0.229952,0.411285,0.322571,0.314148,0.038624,0.296253,0.351192
"39","01085497",0400000US39,"39",OH,Ohio,"00","105828882568","10268850702",0.283118,0.422022,0.380388,0.389445,0.031314,0.365391,0.405328
"55","01779806",0400000US55,"55",WI,Wisconsin,"00","140290039723","29344951758",0.353862,0.455525,0.427444,0.434005,0.019826,0.412551,0.443235
"41","01155107",0400000US41,"41",OR,Oregon,"00","248606993270","6192386935",0.134876,0.411686,0.249762,0.247295,0.043317,0.216182,0.278454
"38","01779797",0400000US38,"38",ND,North Dakota,"00","178707534813","4403267548",0.353871,0.420597,0.382111,0.381472,0.010060,0.376679,0.386875
"05","00068085",0400000US05,"05",AR,Arkansas,"00","134768872727","2962859592",0.298444,0.473750,0.374896,0.365033,0.034949,0.349288,0.391370
"18","00448508",0400000US18,"18",IN,Indiana,"00","92789302676","1538002829",0.302081,0.430978,0.400497,0.405740,0.020387,0.391841,0.415464
"27","00662849",0400000US27,"27",MN,Minnesota,"00","206228939448","18945217189",0.366979,0.453328,0.418711,0.421559,0.019307,0.404527,0.432531
"09","01779780",0400000US09,"09",CT,Connecticut,"00","12542497068","1815617571",0.353794,0.425393,0.391947,0.390643,0.015964,0.379890,0.403174
